"name","ERR","EDR","ARR"
"Alexander Olsen",0.678402748694296,0.196456397560153,0.437429573127224
"Andrea Melanie Kessler",0.900661637248357,0.557201994921782,0.72893181608507
"Audrey Van der Meer",0.699372946289053,0.512155405625159,0.605764175957106
"Audun Havnen",0.576773648319179,0.254933909516742,0.415853778917961
"Beate Wold Hygen",0.664673330704743,0.625275292097868,0.644974311401306
"Christian Kløckner",0.869904793435282,0.412742380771439,0.641323587103361
"Dawn Marie Behne",0.722399427380349,0.667420397983514,0.694909912681932
"Frederick Anyan",0.726300478924064,0.65355120930686,0.689925844115462
"Frederikus Van der Weel",0.702288496462737,0.636074575808028,0.669181536135382
"Gerit Pfuhl",0.671437065517811,0.615055685156201,0.643246375337006
"Hermundur Sigmundsson",0.696773511349825,0.641137691456713,0.668955601403269
"Ida Emilia Brunner",0.790717076216566,0.687043323306192,0.738880199761379
"Ingvild Saksvik-Lehouillier",0.837472731984145,0.519897649037788,0.678685190510966
"Jolene Van der Kaap-Deeder",0.635713907917345,0.19584215328853,0.415778030602937
"Lars Wichstrøm",0.714046689231616,0.652281274967863,0.683163982099739
"Leif Edward Ottesen Kennair",0.736418998801443,0.414135210610639,0.575277104706041
"Magne Arve Flaten",0.584878610026085,0.540752726855378,0.562815668440731
"Magnus Alm",0.670997350364365,0.319770429272085,0.495383889818225
"Matthias Mittner",0.766019250447488,0.46599746355223,0.616008356999859
"Mons Bendixen",0.782242046444293,0.24561099744336,0.513926521943826
"Nicholas Hagen Kirkerud",0.896035126355308,0.891065488738012,0.89355030754666
"Nunne Englund",0.885900488312885,0.857941841682357,0.871921164997621
"Odin Hjemdal",0.790954879204177,0.722832319387879,0.756893599296028
"Patrick A. Vogel",0.637648946353674,0.591419071432054,0.614534008892864
"Robert Biegler",0.593751457795171,0.153435020538264,0.373593239166717
"Roger Hagen",0.743073382554907,0.485010893068494,0.6140421378117
"Stian Solem",0.811880351069881,0.763119218232693,0.787499784651287
"Tilmann von Soest",0.693558933159054,0.256691688720236,0.475125310939645
"Timo Juhani Lajunen",0.711095858030274,0.192505250710631,0.451800554370452
"Tor Sunde",0.630808421844463,0.589133246952884,0.609970834398673
"Torbjørn Rundmo",0.813867600342126,0.251044676989586,0.532456138665856
"Tore C Stiles",0.645195424537142,0.595652722546817,0.620424073541979
"Torun Grøtte",0.551268559329764,0.425421044675554,0.488344802002659
"Trond Nordfjærn",0.837404055552959,0.317255876439356,0.577329965996158
"Trond Viggo Grøntvedt",0.673523548404214,0.53730671590503,0.605415132154622
"Ute Gabriel",0.763759573411267,0.702707240538266,0.733233406974767
"Vera Skalicka",0.645908232577052,0.253639018316896,0.449773625446974
"Xi Chu",0.628035245011494,0.536994829967157,0.582515037489325
